chapter,scene,tension_0-10,description
1,1,3,Jeremy Marsh introduced in calm TV studio, low tension, comfortable tone-setting
1,2,5,Eerie atmosphere of mysterious research emerges, moderate curiosity tension
1,3,6,Invitation to investigate supernatural phenomenon, raises stakes mildly

2,1,4,Arrival in quiet town, gentle and slow-paced introduction of setting
2,2,5,First meeting with Lexie, affectionate and playful tension lightly introduced
2,3,6,Introduction of mysterious Cedar Creek phenomena ignites intrigue

3,1,4,Initial research in library, atmosphere calm and studious
3,2,6,Lively interaction with Lexie, heightened emotional curiosity and interest
3,3,5,Closing thoughts in the library, balanced optimistic tension

4,1,4,Local town conversations begin slowly, set scenic and comfortable pacing
4,2,5,Brief skepticism and resistance from townsfolk, moderate tension rising
4,3,6,Quiet evening reflection scene, Jeremy reflecting on mission and emotional stakes  

5,1,5,Detailed discussions about historical documents, intensity begins to build
5,2,7,Personal revelations about Lexie's past and gentle emotional vulnerability arise
5,3,5,A peaceful conclusion of day, emotional connection quiet and balanced  

6,1,6,Increasing skepticism and intensity in investigation leads to moderate tension
6,2,7,Emotional openness from Lexie mirrors Jeremy's growing introspection, charged intimacy
6,3,6,Scene slowly resolves into shared, calm understanding, emotional resonance strong

7,1,5,Quiet town interactions serve as calming and amusing interlude  
7,2,7,Sudden new unexplained phenomena heightens investigative excitement
7,3,6,Jeremy and Lexie share reflective, emotionally revealing moment, stabilizing and calming scene 

8,1,6,Local resistance and suspicion towards Jeremy mount, tension moderately high
8,2,8,High stakes emotional conflict arises, arguments with skeptics reach intense pitch
8,3,7,Post-conflict introspection filled with uncertainty and significant internal questioning

9,1,5,Subtle interpersonal dialogues, emotional comfort slowly returns
9,2,6,Small-town festival sets lively, gently optimistic interaction and moderate excitement
9,3,7,Private, illuminating dialogue between Jeremy and Lexie increases romantic tension 

10,1,6,Preparation for major reveal—uncertainty mounts with balanced anticipation
10,2,8,Climactic investigative scene; high tension resolution of supernatural aspects culminates  
10,3,6,Moderate calming reflective aftermath, emotional steadiness gently returns

11,1,5,Quiet reconciliation and acceptance begins, introspective calmness develops  
11,2,7,Important emotional declaration clearly stated, impactful romantic revelation peak
11,3,5,Gentle romantic aftermath—scene settling quietly and warmly  

12,1,4,Introspective scene; personal growth realization balanced calmly and reflectively
12,2,3,Mutually affirming dialogue between characters in a gently reassuring atmosphere
12,3,2,Tender closure of romantic arc: calm, quietly strong emotional resolution  
12,4,1,Epilogue of quiet reflection, calm acceptance and hopeful conclusion
